category;shortname;fullname
145;PENDIDIKAN AGAMA ISLAM (XI PM);PENDIDIKAN AGAMA ISLAM (XI PM)
145;PENDIDIKAN AGAMA KRISTEN (XI PM);PENDIDIKAN AGAMA KRISTEN (XI PM)
145;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI PM);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI PM)
145;BAHASA INDONESIA (XI PM);BAHASA INDONESIA (XI PM)
145;MATEMATIKA (XI PM);MATEMATIKA (XI PM)
145;BAHASA INGGRIS  (XI PM);BAHASA INGGRIS  (XI PM)
145;BAHASA MANDARIN (XI PM);BAHASA MANDARIN (XI PM)
145;PJOK (XI PM);PJOK (XI PM)
145;PENATAAN PRODUK (XI PM);PENATAAN PRODUK (XI PM)
145;BISNIS ONLINE (XI PM);BISNIS ONLINE (XI PM)
145;PENGELOLAAN BISNIS RITEL (XI PM);PENGELOLAAN BISNIS RITEL (XI PM)
145;ADMINISTRASI TRANSAKSI (XI PM);ADMINISTRASI TRANSAKSI (XI PM)
145;PRODUK KREATIF DAN KEWIRAUSAHAAN (XI PM);PRODUK KREATIF DAN KEWIRAUSAHAAN (XI PM)
146;PENDIDIKAN AGAMA ISLAM (X MPLB 1);PENDIDIKAN AGAMA ISLAM (X MPLB 1)
146;PENDIDIKAN AGAMA KRISTEN (X MPLB 1);PENDIDIKAN AGAMA KRISTEN (X MPLB 1)
146;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X MPLB 1);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X MPLB 1)
146;BAHASA INDONESIA (X MPLB 1);BAHASA INDONESIA (X MPLB 1)
146;SEJARAH INDONESIA (X MPLB 1);SEJARAH INDONESIA (X MPLB 1)
146;BAHASA MANDARIN (X MPLB 1);BAHASA MANDARIN (X MPLB 1)
146;MATEMATIKA (X MPLB 1);MATEMATIKA (X MPLB 1)
146;BAHASA INGGRIS (X MPLB 1);BAHASA INGGRIS (X MPLB 1)
146;INFORMATIKA (X MPLB 1);INFORMATIKA (X MPLB 1)
146;PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X MPLB 1);PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X MPLB 1)
146;DASAR DASAR MPLB (X MPLB 1);DASAR DASAR MPLB (X MPLB 1)
147;PENDIDIKAN AGAMA ISLAM (X MPLB 2);PENDIDIKAN AGAMA ISLAM (X MPLB 2)
147;PENDIDIKAN AGAMA KRISTEN (X MPLB 2);PENDIDIKAN AGAMA KRISTEN (X MPLB 2)
147;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X MPLB 2);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X MPLB 2)
147;BAHASA INDONESIA (X MPLB 2);BAHASA INDONESIA (X MPLB 2)
147;SEJARAH INDONESIA (X MPLB 2);SEJARAH INDONESIA (X MPLB 2)
147;BAHASA MANDARIN (X MPLB 2);BAHASA MANDARIN (X MPLB 2)
147;MATEMATIKA (X MPLB 2);MATEMATIKA (X MPLB 2)
147;BAHASA INGGRIS (X MPLB 2);BAHASA INGGRIS (X MPLB 2)
147;INFORMATIKA (X MPLB 2);INFORMATIKA (X MPLB 2)
147;PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X MPLB 2);PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X MPLB 2)
147;DASAR DASAR MPLB (X MPLB 2);DASAR DASAR MPLB (X MPLB 2)
148;PENDIDIKAN AGAMA ISLAM (XI MPLB 1);PENDIDIKAN AGAMA ISLAM (XI MPLB 1)
148;PENDIDIKAN AGAMA KRISTEN (XI MPLB 1);PENDIDIKAN AGAMA KRISTEN (XI MPLB 1)
148;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI MPLB 1);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI MPLB 1)
148;BAHASA INDONESIA (XI MPLB 1);BAHASA INDONESIA (XI MPLB 1)
148;MATEMATIKA (XI MPLB 1);MATEMATIKA (XI MPLB 1)
148;BAHASA INGGRIS  (XI MPLB 1);BAHASA INGGRIS  (XI MPLB 1)
148;BAHASA MANDARIN (XI MPLB 1);BAHASA MANDARIN (XI MPLB 1)
148;PJOK (XI MPLB 1);PJOK (XI MPLB 1)
148;OTK KEPEGAWAIAN (XI MPLB 1);OTK KEPEGAWAIAN (XI MPLB 1)
148;OTK KEUANGAN (XI MPLB 1);OTK KEUANGAN (XI MPLB 1)
148;OTK SARANA DANPRASARANA (XI MPLB 1);OTK SARANA DANPRASARANA (XI MPLB 1)
148;OTK HUMAS DANKEPROTOKOLAN (XI MPLB 1);OTK HUMAS DANKEPROTOKOLAN (XI MPLB 1)
148;PRODUK KREATIF DAN KEWIRAUSAHAAN (XI MPLB 1);PRODUK KREATIF DAN KEWIRAUSAHAAN (XI MPLB 1)
149;PENDIDIKAN AGAMA ISLAM (XI MPLB 2);PENDIDIKAN AGAMA ISLAM (XI MPLB 2)
149;PENDIDIKAN AGAMA KRISTEN (XI MPLB 2);PENDIDIKAN AGAMA KRISTEN (XI MPLB 2)
149;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI MPLB 2);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI MPLB 2)
149;BAHASA INDONESIA (XI MPLB 2);BAHASA INDONESIA (XI MPLB 2)
149;MATEMATIKA (XI MPLB 2);MATEMATIKA (XI MPLB 2)
149;BAHASA INGGRIS  (XI MPLB 2);BAHASA INGGRIS  (XI MPLB 2)
149;BAHASA MANDARIN (XI MPLB 2);BAHASA MANDARIN (XI MPLB 2)
149;PJOK (XI MPLB 2);PJOK (XI MPLB 2)
149;OTK KEPEGAWAIAN (XI MPLB 2);OTK KEPEGAWAIAN (XI MPLB 2)
149;OTK KEUANGAN (XI MPLB 2);OTK KEUANGAN (XI MPLB 2)
149;OTK SARANA DANPRASARANA (XI MPLB 2);OTK SARANA DANPRASARANA (XI MPLB 2)
149;OTK HUMAS DANKEPROTOKOLAN (XI MPLB 2);OTK HUMAS DANKEPROTOKOLAN (XI MPLB 2)
