category;shortname;fullname
263;TEKNOLOGI JARINGAN BERBASIS LUAS (XII TJKT 1);TEKNOLOGI JARINGAN BERBASIS LUAS (XII TJKT 1)
263;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII TJKT 1);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII TJKT 1)
263;ADMINISTRASI SISTEM JARINGAN (XII TJKT 1);ADMINISTRASI SISTEM JARINGAN (XII TJKT 1)
263;TEKNOLOGI LAYANAN JARINGAN (XII TJKT 1);TEKNOLOGI LAYANAN JARINGAN (XII TJKT 1)
264;AGAMA ISLAM (XII TJKT 2);AGAMA ISLAM (XII TJKT 2)
264;AGAMA KRISTEN (XII TJKT 2);AGAMA KRISTEN (XII TJKT 2)
264;BAHASA INDONESIA (XII TJKT 2);BAHASA INDONESIA (XII TJKT 2)
264;PEND. PANCASILA DAN KEWARGANEGARAAN (XII TJKT 2);PEND. PANCASILA DAN KEWARGANEGARAAN (XII TJKT 2)
264;BAHASA INGGRIS (XII TJKT 2);BAHASA INGGRIS (XII TJKT 2)
264;MATEMATIKA (XII TJKT 2);MATEMATIKA (XII TJKT 2)
264;TEKNOLOGI JARINGAN BERBASIS LUAS (XII TJKT 2);TEKNOLOGI JARINGAN BERBASIS LUAS (XII TJKT 2)
264;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII TJKT 2);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII TJKT 2)
264;ADMINISTRASI SISTEM JARINGAN (XII TJKT 2);ADMINISTRASI SISTEM JARINGAN (XII TJKT 2)
264;TEKNOLOGI LAYANAN JARINGAN (XII TJKT 2);TEKNOLOGI LAYANAN JARINGAN (XII TJKT 2)
265;AGAMA ISLAM (XII TJKT 3);AGAMA ISLAM (XII TJKT 3)
265;AGAMA KRISTEN (XII TJKT 3);AGAMA KRISTEN (XII TJKT 3)
265;BAHASA INDONESIA (XII TJKT 3);BAHASA INDONESIA (XII TJKT 3)
265;PEND. PANCASILA DAN KEWARGANEGARAAN (XII TJKT 3);PEND. PANCASILA DAN KEWARGANEGARAAN (XII TJKT 3)
265;BAHASA INGGRIS (XII TJKT 3);BAHASA INGGRIS (XII TJKT 3)
265;MATEMATIKA (XII TJKT 3);MATEMATIKA (XII TJKT 3)
265;TEKNOLOGI JARINGAN BERBASIS LUAS (XII TJKT 3);TEKNOLOGI JARINGAN BERBASIS LUAS (XII TJKT 3)
265;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII TJKT 3);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII TJKT 3)
265;ADMINISTRASI SISTEM JARINGAN (XII TJKT 3);ADMINISTRASI SISTEM JARINGAN (XII TJKT 3)
265;TEKNOLOGI LAYANAN JARINGAN (XII TJKT 3);TEKNOLOGI LAYANAN JARINGAN (XII TJKT 3)
