category;shortname;fullname
194;MATEMATIKA (XII TJKT 2);MATEMATIKA (XII TJKT 2)
194;BAHASA INGGRIS  (XII TJKT 2);BAHASA INGGRIS  (XII TJKT 2)
194;ADMINISTRASI INFRASTRUKTUR JARINGAN (XII TJKT 2);ADMINISTRASI INFRASTRUKTUR JARINGAN (XII TJKT 2)
194;ADMINISTRASI SISTEM JARINGAN (XII TJKT 2);ADMINISTRASI SISTEM JARINGAN (XII TJKT 2)
194;TEKNOLOGI LAYANAN JARINGAN (XII TJKT 2);TEKNOLOGI LAYANAN JARINGAN (XII TJKT 2)
194;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII TJKT 2);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII TJKT 2)
195;PENDIDIKAN AGAMA ISLAM (XII TJKT 3);PENDIDIKAN AGAMA ISLAM (XII TJKT 3)
195;PENDIDIKAN AGAMA KRISTEN (XII TJKT 3);PENDIDIKAN AGAMA KRISTEN (XII TJKT 3)
195;PKN (XII TJKT 3);PKN (XII TJKT 3)
195;BAHASA INDONESIA (XII TJKT 3);BAHASA INDONESIA (XII TJKT 3)
195;MATEMATIKA (XII TJKT 3);MATEMATIKA (XII TJKT 3)
195;BAHASA INGGRIS  (XII TJKT 3);BAHASA INGGRIS  (XII TJKT 3)
195;ADMINISTRASI INFRASTRUKTUR JARINGAN (XII TJKT 3);ADMINISTRASI INFRASTRUKTUR JARINGAN (XII TJKT 3)
195;ADMINISTRASI SISTEM JARINGAN (XII TJKT 3);ADMINISTRASI SISTEM JARINGAN (XII TJKT 3)
195;TEKNOLOGI LAYANAN JARINGAN (XII TJKT 3);TEKNOLOGI LAYANAN JARINGAN (XII TJKT 3)
195;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII TJKT 3);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII TJKT 3)
