category;shortname;fullname
276;PJOK (XI MPLB 1);PJOK (XI MPLB 1)
276;PENDIDIKAN PANCASILA (XI MPLB 1);PENDIDIKAN PANCASILA (XI MPLB 1)
276;F.1 (XI MPLB 1);F.1 (XI MPLB 1)
276;F.2,4 (XI MPLB 1);F.2,4 (XI MPLB 1)
276;F.3,10 (XI MPLB 1);F.3,10 (XI MPLB 1)
276;SEJARAH (XI MPLB 1);SEJARAH (XI MPLB 1)
276;F.5 (XI MPLB 1);F.5 (XI MPLB 1)
276;F.8 (XI MPLB 1);F.8 (XI MPLB 1)
276;SIMDIG (XI MPLB 1);SIMDIG (XI MPLB 1)
277;AGAMA ISLAM (XI MPLB 2);AGAMA ISLAM (XI MPLB 2)
277;AGAMA KRISTEN (XI MPLB 2);AGAMA KRISTEN (XI MPLB 2)
277;MATEMATIKA (XI MPLB 2);MATEMATIKA (XI MPLB 2)
277;BAHASA MANDARIN (XI MPLB 2);BAHASA MANDARIN (XI MPLB 2)
277;BAHASA INGGRIS (XI MPLB 2);BAHASA INGGRIS (XI MPLB 2)
277;PKK (XI MPLB 2);PKK (XI MPLB 2)
277;BAHASA INDONESIA (XI MPLB 2);BAHASA INDONESIA (XI MPLB 2)
277;PJOK (XI MPLB 2);PJOK (XI MPLB 2)
277;PENDIDIKAN PANCASILA (XI MPLB 2);PENDIDIKAN PANCASILA (XI MPLB 2)
277;F.1 (XI MPLB 2);F.1 (XI MPLB 2)
277;F.2,4 (XI MPLB 2);F.2,4 (XI MPLB 2)
277;F.3,10 (XI MPLB 2);F.3,10 (XI MPLB 2)
277;SEJARAH (XI MPLB 2);SEJARAH (XI MPLB 2)
277;F.5 (XI MPLB 2);F.5 (XI MPLB 2)
277;F.8 (XI MPLB 2);F.8 (XI MPLB 2)
277;SIMDIG (XI MPLB 2);SIMDIG (XI MPLB 2)
273;AGAMA ISLAM (XI PM);AGAMA ISLAM (XI PM)
273;AGAMA KRISTEN (XI PM);AGAMA KRISTEN (XI PM)
273;MATEMATIKA (XI PM);MATEMATIKA (XI PM)
273;BAHASA MANDARIN (XI PM);BAHASA MANDARIN (XI PM)
273;BAHASA INGGRIS (XI PM);BAHASA INGGRIS (XI PM)
273;PKK (XI PM);PKK (XI PM)
273;BAHASA INDONESIA (XI PM);BAHASA INDONESIA (XI PM)
273;PJOK (XI PM);PJOK (XI PM)
273;PENDIDIKAN PANCASILA (XI PM);PENDIDIKAN PANCASILA (XI PM)
273;F.1 (XI PM);F.1 (XI PM)
273;DASAR AKUNTANSI (XI PM);DASAR AKUNTANSI (XI PM)
273;F.2 (XI PM);F.2 (XI PM)
273;SEJARAH (XI PM);SEJARAH (XI PM)
273;F.3 (XI PM);F.3 (XI PM)
273;F.4 (XI PM);F.4 (XI PM)
273;BISNIS ONLINE (XI PM);BISNIS ONLINE (XI PM)
279;AGAMA ISLAM (XI DKV);AGAMA ISLAM (XI DKV)
279;AGAMA KRISTEN (XI DKV);AGAMA KRISTEN (XI DKV)
279;MATEMATIKA (XI DKV);MATEMATIKA (XI DKV)
279;BAHASA MANDARIN (XI DKV);BAHASA MANDARIN (XI DKV)
279;BAHASA INGGRIS (XI DKV);BAHASA INGGRIS (XI DKV)
279;PKK (XI DKV);PKK (XI DKV)
279;BAHASA INDONESIA (XI DKV);BAHASA INDONESIA (XI DKV)
279;PJOK (XI DKV);PJOK (XI DKV)
279;PENDIDIKAN PANCASILA (XI DKV);PENDIDIKAN PANCASILA (XI DKV)
279;F.1,5 (XI DKV);F.1,5 (XI DKV)
279;F.2,3 (XI DKV);F.2,3 (XI DKV)
279;SEJARAH (XI DKV);SEJARAH (XI DKV)
279;F.4 (XI DKV);F.4 (XI DKV)
279;BISNIS ONLINE (XI DKV);BISNIS ONLINE (XI DKV)
